Dealer Code,Dealer Code Description,Dealer City,PCR Number,PCR Year,VC Number,VC Description,Model,Sub Model,Chassis No,Chassis Type,Production Month,Kilometers Covered,Complaint Aggregate,Complaint Aggregate Description,Complaint Group,Complaint Group Description,Complaint Code,Complaint Code Description,Sale Month,Complaint Month,Complaint Reported Date,Diff between Complaint & Sales Month,Settlement Month,Settlement Date,Claim Category,Claim Category Description,Claims Indicator,No. of Complaints,Part Number,Part Description,Part Quantity,Part Rate,Actual Labour Charge,Miscellaneous Charge,Special Labour Charges,Total Expenses,Credit Amount,Customer Complaint,Investigation,Action Taken
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,214,2018,26478638000R,TATA SFC 709 EX / 38 BS IV,709,709-SFC-EX,MAT506332J8A02593,506332,JAN 2018,7000,A1,ENGINE,AB01719,PUSH ROD COVER CRACKED / DEFECTIV,AB01719,PUSH ROD COVER CRACKED/DEFECTIVE,MAR 2018,MAY 2018,16.05.2018,2,MAY 2018,22.05.2018,1,Normal Warranty,Regular Claims,0,253401140156,ASSY. ISOLATOR,2,35.72,0,6.43,3.57,81.44,81.44,ENGINE IL LEAKAGE,AFTER INVESTIGATION WE FOUND ENGINE OIL LEAKAGE THOUGH SIDECOVERPACKING,Failed Parts Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,214,2018,26478638000R,TATA SFC 709 EX / 38 BS IV,709,709-SFC-EX,MAT506332J8A02593,506332,JAN 2018,7000,A1,ENGINE,AB01719,PUSH ROD COVER CRACKED / DEFECTIV,AB01719,PUSH ROD COVER CRACKED/DEFECTIVE,MAR 2018,MAY 2018,16.05.2018,2,MAY 2018,22.05.2018,1,Normal Warranty,Regular Claims,1,253401145309,GASKET (PUSH ROD CHAMBER COVER),1,232.87,275,20.96,11.64,540.47,540.47,ENGINE IL LEAKAGE,AFTER INVESTIGATION WE FOUND ENGINE OIL LEAKAGE THOUGH SIDECOVERPACKING,Failed Parts Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,214,2018,26478638000R,TATA SFC 709 EX / 38 BS IV,709,709-SFC-EX,MAT506332J8A02593,506332,JAN 2018,7000,A1,ENGINE,AB01719,PUSH ROD COVER CRACKED / DEFECTIV,AB01719,PUSH ROD COVER CRACKED/DEFECTIVE,MAR 2018,MAY 2018,16.05.2018,2,MAY 2018,22.05.2018,1,Normal Warranty,Regular Claims,0,886399000035,METAL O SEAL++ PREMIUM GASKET MAKER 25GM,2,103.59,0,4.14,10.36,221.68,221.68,ENGINE IL LEAKAGE,AFTER INVESTIGATION WE FOUND ENGINE OIL LEAKAGE THOUGH SIDECOVERPACKING,Failed Parts Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,272,2018,55322029000R,SFC 407EX/2955WB PICKUP BS IV,407,407-SF,MAT505266J8A01979,505266,JAN 2018,1858,H1,WHEELS,HB40019,TYRE CASING DEFC./ PLY SEPERATION,HB40069,TYRE BUBBLE IN TYRE CASING,MAR 2018,JUN 2018,02.06.2018,3,JUL 2018,12.07.2018,1,Normal Warranty,Labour Only Claims,1,#,Not assigned,0,0,0,0,6636,6636,6636,TYRE AIR LOCK,VEHICLE REPORTED WITH THE COMPLAINT OF TYRE AIR LOCK REFERRED THE SAMETO APOLLO ANCILLARY DEALER BUT THEY HAVE REJECTED THE SAME MENTIONINGTHE REASON -SIDEWALL PENETRATION AS THEFAILURE OCCURED IN LOW KMCONSIDERED UNDER WARRANTY OE DEPTH= 10MM CURRENT DEPTH = 9 6MM UMRP=6913 - MAKE- APOLLO QTY- 01 SL NO-0118 CUSTOMER SHARE = RS277 - TML SHARE = RS 6636 -,An Amount Of Rs 6636 - Claimed As Spl Charge For Tyre Settlement On Prorata Basis Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,456,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7A02361,764011,JAN 2018,23000,Q1,ELECTRICALS,QB54159,HORN DEFECTIVE,QB54159,HORN DEFECTIVE,FEB 2018,JUL 2018,04.07.2018,5,JUL 2018,18.07.2018,1,Normal Warranty,Regular Claims,1,281654209944,HORN DISC TYPE HIGH TONE 24V,2,335.7,55,60.43,33.57,820.4,820.4,HORN NOT BLOWING,AFTER INVESTIGATION WE FOUND HORN NOT BLOWING DUE TO INTERNAL DEFECTIVE,Horn Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,478,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7B02622,764011,FEB 2018,16300,Q1,ELECTRICALS,QB54255,HEADLIGHT FOCUSSING IMPROPER,QB54255,HEAD LIGHT FOCUSSING IM PROPER,FEB 2018,JUL 2018,11.07.2018,5,JUL 2018,21.07.2018,1,Normal Warranty,Regular Claims,1,550754410112,550754410112,1,5418.23,110,487.64,270.91,6286.78,6286.78,FRT LHS HEAD LIGHT NOT GLOWING,AFTER INVESTIGATION WE FOUND FRT LHS HEAD LIGHT NOT GLOWINGDUE TOWATER ENTRY,Frt Lhs Head Light Assy Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,517,2018,28211427000RBD54,5 CUM UB box TIP LPK912/27 EX 497CR BSIV,912,912CR-LPK,MAT454206J7A01033,454206,JAN 2018,6410,K1,BRAKES,KD43312,AIR LEAK FROM REAR BRAKE CHAMBER / ACTUATOR,KD43312,AIR LEAK FROM RR AIR BRK CHAMBER/ACTUATOR,MAY 2018,JUL 2018,14.07.2018,2,JUL 2018,28.07.2018,1,Normal Warranty,Regular Claims,1,270742300101,SPRING BRAKE ACTUATOR(T-12/12),1,7087.86,82.5,637.91,354.39,8162.66,8162.66,AIR PRESSUR ELEAKAGE,AFTER INVESTIGATION WE FOUND AIR PRESSURE LEAKAGE THROUGH BRAKE BOOSTERASSY SUSPECTED INTERNLA DEFECTIVE,Brake Booster Assy Replaced Under Warrantydefertxt 0004
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,789,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7A00141,764011,JAN 2018,35001,E1,CHASSIS FRAME,EB31011,CROSS MEMBER BROKEN/CRACKED,EB31021,C J BRG CROSS MEMBER CRACKED,JAN 2018,SEP 2018,07.09.2018,8,SEP 2018,19.09.2018,1,Normal Warranty,Regular Claims,1,264189100157,ASSY RUBBER BUSH (FRONT MOUNTING),2,273.49,0,49.23,27.35,623.56,623.56,CABIN VIBRATION WHILE VEHICLE IN MOTION,VEHICLE REPORTED WITH THE COMPLAINT OF CABIN VIBRATION WHILEVEHICLE INMOTION ON INVESTIGATION FOUND CABIN CROSS TUBE RH SIDE BROKEN ALSOFOUND BUSH GOT CRACKED NO EXTERNAL HITTING MARK OBSERVED LOW KMFAILURE,Cabin Cross Tube Rh Side Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,789,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7A00141,764011,JAN 2018,35001,E1,CHASSIS FRAME,EB31011,CROSS MEMBER BROKEN/CRACKED,EB31021,C J BRG CROSS MEMBER CRACKED,JAN 2018,SEP 2018,07.09.2018,8,SEP 2018,19.09.2018,1,Normal Warranty,Regular Claims,0,264189103404,SPACER BUSH 709,2,63.79,0,2.55,6.38,136.51,136.51,CABIN VIBRATION WHILE VEHICLE IN MOTION,VEHICLE REPORTED WITH THE COMPLAINT OF CABIN VIBRATION WHILEVEHICLE INMOTION ON INVESTIGATION FOUND CABIN CROSS TUBE RH SIDE BROKEN ALSOFOUND BUSH GOT CRACKED NO EXTERNAL HITTING MARK OBSERVED LOW KMFAILURE,Cabin Cross Tube Rh Side Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,789,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7A00141,764011,JAN 2018,35001,E1,CHASSIS FRAME,EB31011,CROSS MEMBER BROKEN/CRACKED,EB31021,C J BRG CROSS MEMBER CRACKED,JAN 2018,SEP 2018,07.09.2018,8,SEP 2018,19.09.2018,1,Normal Warranty,Regular Claims,0,274789108242,SHIM,2,24.52,0,4.41,2.45,55.9,55.9,CABIN VIBRATION WHILE VEHICLE IN MOTION,VEHICLE REPORTED WITH THE COMPLAINT OF CABIN VIBRATION WHILEVEHICLE INMOTION ON INVESTIGATION FOUND CABIN CROSS TUBE RH SIDE BROKEN ALSOFOUND BUSH GOT CRACKED NO EXTERNAL HITTING MARK OBSERVED LOW KMFAILURE,Cabin Cross Tube Rh Side Replaced Under Warrantydefer Txt 0002
